epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9882711172103882,0.999424934387207,0.0010000000474974513,0.02610018476843834,0.9918485283851624,0.984635055065155,0.9592296481132507,0.9929987192153931,0.1427527815103531,1.0,0.9184426069259644
1,0.999846339225769,0.9998699426651001,0.0010000000474974513,0.0018449962371960282,0.9999487996101379,0.9997439384460449,1.0,1.0,2.182968455599621e-05,1.0,1.0
2,0.9998719692230225,0.9998703002929688,0.0010000000474974513,0.001541747129522264,1.0,0.9997439384460449,1.0,1.0,4.161157448834274e-06,1.0,1.0
3,0.9994621872901917,0.999765157699585,0.0010000000474974513,0.0030625418294221163,0.9996413588523865,0.999282956123352,0.9977463483810425,1.0,0.015920549631118774,0.9955120086669922,1.0
4,0.9998207092285156,0.9998441934585571,0.0005000000237487257,0.001757052494212985,0.9999487996101379,0.9996926784515381,1.0,1.0,3.7231338865240104e-06,1.0,1.0
5,0.9998975396156311,0.9999227523803711,0.0005000000237487257,0.0008097624522633851,1.0,0.999795138835907,1.0,1.0,4.2133883653150406e-06,1.0,1.0
6,0.9998719692230225,0.9999485611915588,0.0002500000118743628,0.0008353609591722488,0.9999487996101379,0.999795138835907,1.0,1.0,7.14875886842492e-06,1.0,1.0
7,0.9999487996101379,0.9999486804008484,0.0002500000118743628,0.00036657374585047364,1.0,0.9998975396156311,1.0,1.0,4.003443245892413e-05,1.0,1.0
8,0.9999487996101379,0.999974250793457,0.0001250000059371814,0.00028707447927445173,1.0,0.9998975396156311,1.0,1.0,6.36217055216548e-06,1.0,1.0
9,0.9999231696128845,0.9999999403953552,0.0001250000059371814,0.0002772688749246299,0.9999487996101379,0.9998975396156311,1.0,1.0,2.0839561329921708e-05,1.0,1.0
